,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
49,2018-12-09,AA,AA_CODESHARE,AA,4918,PT,N659AE,4918,14100,PHL,"Philadelphia, PA",14576,ROC,"Rochester, NY",1540,1539.0,-1.0,17.0,1556.0,1646.0,7.0,1712,1653.0,-19.0,0.0,,0.0,N,92.0,74.0,50.0,1.0,257.0,,,,,,,,,
50,2018-12-09,AA,AA_CODESHARE,AA,4918,PT,N659AE,4918,14576,ROC,"Rochester, NY",14100,PHL,"Philadelphia, PA",1740,1736.0,-4.0,9.0,1745.0,1840.0,7.0,1908,1847.0,-21.0,0.0,,0.0,N,88.0,71.0,55.0,1.0,257.0,,,,,,,,,
51,2018-12-09,AA,AA_CODESHARE,AA,4919,PT,N620AE,4919,14100,PHL,"Philadelphia, PA",14524,RIC,"Richmond, VA",2030,,,,,,,2143,,,1.0,B,0.0,N,73.0,,,1.0,198.0,,,,,,,,,
52,2018-12-09,AA,AA_CODESHARE,AA,4920,PT,,4920,11057,CLT,"Charlotte, NC",14704,SBY,"Salisbury, MD",1850,,,,,,,2021,,,1.0,B,0.0,N,91.0,,,1.0,371.0,,,,,,,,,
53,2018-12-09,AA,AA_CODESHARE,AA,4921,PT,N620AE,4921,11433,DTW,"Detroit, MI",14100,PHL,"Philadelphia, PA",1448,1610.0,82.0,10.0,1620.0,1731.0,8.0,1640,1739.0,59.0,0.0,,0.0,N,112.0,89.0,71.0,1.0,453.0,1.0,0.0,0.0,0.0,58.0,,,,
54,2018-12-09,AA,AA_CODESHARE,AA,4921,PT,N620AE,4921,14100,PHL,"Philadelphia, PA",11433,DTW,"Detroit, MI",1226,1353.0,87.0,22.0,1415.0,1534.0,10.0,1421,1544.0,83.0,0.0,,0.0,N,115.0,111.0,79.0,1.0,453.0,83.0,0.0,0.0,0.0,0.0,,,,
55,2018-12-09,AA,AA_CODESHARE,AA,4923,PT,N695AE,4923,10581,BGR,"Bangor, ME",14100,PHL,"Philadelphia, PA",1239,1324.0,45.0,10.0,1334.0,1501.0,8.0,1436,1509.0,33.0,0.0,,0.0,N,117.0,105.0,87.0,1.0,473.0,3.0,0.0,0.0,0.0,30.0,,,,
56,2018-12-09,AA,AA_CODESHARE,AA,4923,PT,N695AE,4923,14100,PHL,"Philadelphia, PA",10581,BGR,"Bangor, ME",1029,1123.0,54.0,17.0,1140.0,1251.0,4.0,1210,1255.0,45.0,0.0,,0.0,N,101.0,92.0,71.0,1.0,473.0,45.0,0.0,0.0,0.0,0.0,,,,
57,2018-12-09,AA,AA_CODESHARE,AA,4924,PT,N632AE,4924,14100,PHL,"Philadelphia, PA",12391,ISP,"Islip, NY",2047,2039.0,-8.0,15.0,2054.0,2128.0,7.0,2155,2135.0,-20.0,0.0,,0.0,N,68.0,56.0,34.0,1.0,130.0,,,,,,,,,
58,2018-12-09,AA,AA_CODESHARE,AA,4925,PT,,4925,11057,CLT,"Charlotte, NC",13277,MGM,"Montgomery, AL",1125,,,,,,,1203,,,1.0,B,0.0,N,98.0,,,1.0,372.0,,,,,,,,,
